sample_id	PC1	PC2	PC3	PC4	PC5	run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212439	-3.5053099062196966	-5.910740310958541	0.633683280351449	-2.2326182428869092	4.483951542575502	SRR12212439	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212439.Aligned.sortedByCoord.out.bam	SRR12212439	old	GSM4669733	SAMN15520612	SRX8723043	old	GSM4669733	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669733	oGV_45A	oGV_45A	SN
SRR12212440	-2.7953396291090096	-5.382184244247911	-6.582243442204119	6.222952397075742	13.09585750291898	SRR12212440	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212440.Aligned.sortedByCoord.out.bam	SRR12212440	old	GSM4669734	SAMN15520611	SRX8723044	old	GSM4669734	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669734	oGV_45	oGV_45	SN
SRR12212441	-1.1702734615014856	-11.218996386624667	0.021896141935311492	-1.2116044802102808	2.35943864238317	SRR12212441	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212441.Aligned.sortedByCoord.out.bam	SRR12212441	old	GSM4669735	SAMN15520610	SRX8723045	old	GSM4669735	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669735	oGV_46A	oGV_46A	SN
SRR12212442	28.86350432800394	-3.7787086791031954	-3.3962672995266048	10.417621489746743	-7.195124471645436	SRR12212442	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212442.Aligned.sortedByCoord.out.bam	SRR12212442	old	GSM4669736	SAMN15520609	SRX8723046	old	GSM4669736	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669736	oGV_46	oGV_46	NSN
SRR12212443	3.397202099107097	-11.162825385136959	11.857503972841519	-2.85858840569045	6.065242707929448	SRR12212443	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212443.Aligned.sortedByCoord.out.bam	SRR12212443	old	GSM4669737	SAMN15520608	SRX8723047	old	GSM4669737	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669737	oGV_47A	oGV_47A	SN
SRR12212444	18.74227275753379	-5.356550572880554	-2.142403486504471	12.113556017184623	3.8672934720677814	SRR12212444	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212444.Aligned.sortedByCoord.out.bam	SRR12212444	old	GSM4669738	SAMN15520607	SRX8723048	old	GSM4669738	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669738	oGV_47	oGV_47	NSN
SRR12212445	11.811582889022466	-66.61212422562039	-3.958159591579191	5.164807331194373	-7.584181239597312	SRR12212445	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212445.Aligned.sortedByCoord.out.bam	SRR12212445	old	GSM4669739	SAMN15520606	SRX8723049	old	GSM4669739	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669739	oGV_48A	oGV_48A	NA
SRR12212446	-7.451680444529962	-2.6088527624668827	0.18656534346487821	10.591704566138544	5.7470208775516065	SRR12212446	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212446.Aligned.sortedByCoord.out.bam	SRR12212446	old	GSM4669740	SAMN15520605	SRX8723050	old	GSM4669740	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669740	oGV_48	oGV_48	SN
SRR12212447	-6.827894686171612	-5.633712664535351	-2.8669583706372057	-15.847705636179136	-0.2975344403856063	SRR12212447	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212447.Aligned.sortedByCoord.out.bam	SRR12212447	old	GSM4669741	SAMN15520604	SRX8723051	old	GSM4669741	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669741	oGV_9A	oGV_9A	SN
SRR12212448	-12.679169945667889	9.675273385283907	16.26762168162637	10.127442805128434	-10.651180658869416	SRR12212448	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212448.Aligned.sortedByCoord.out.bam	SRR12212448	old	GSM4669742	SAMN15520603	SRX8723052	old	GSM4669742	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669742	oGV_9	oGV_9	SN
