run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212428	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212428.Aligned.sortedByCoord.out.bam	SRR12212428	old	GSM4669722	SAMN15520635	SRX8723032	old	GSM4669722	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669722	oGV_30	oGV_30	NSN
SRR12212429	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212429.Aligned.sortedByCoord.out.bam	SRR12212429	old	GSM4669723	SAMN15520634	SRX8723033	old	GSM4669723	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669723	oGV_31A	oGV_31A	NSN
SRR12212430	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212430.Aligned.sortedByCoord.out.bam	SRR12212430	old	GSM4669724	SAMN15520633	SRX8723034	old	GSM4669724	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669724	oGV_31	oGV_31	NSN
SRR12212431	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212431.Aligned.sortedByCoord.out.bam	SRR12212431	old	GSM4669725	SAMN15520621	SRX8723035	old	GSM4669725	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669725	oGV_41A	oGV_41A	NSN
SRR12212432	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212432.Aligned.sortedByCoord.out.bam	SRR12212432	old	GSM4669726	SAMN15520619	SRX8723036	old	GSM4669726	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669726	oGV_41	oGV_41	SN
SRR12212433	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212433.Aligned.sortedByCoord.out.bam	SRR12212433	old	GSM4669727	SAMN15520618	SRX8723037	old	GSM4669727	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669727	oGV_42A	oGV_42A	NSN
SRR12212434	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212434.Aligned.sortedByCoord.out.bam	SRR12212434	old	GSM4669728	SAMN15520617	SRX8723038	old	GSM4669728	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669728	oGV_42	oGV_42	NSN
SRR12212435	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212435.Aligned.sortedByCoord.out.bam	SRR12212435	old	GSM4669729	SAMN15520616	SRX8723039	old	GSM4669729	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669729	oGV_43A	oGV_43A	NSN
SRR12212436	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212436.Aligned.sortedByCoord.out.bam	SRR12212436	old	GSM4669730	SAMN15520615	SRX8723040	old	GSM4669730	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669730	oGV_43	oGV_43	NSN
SRR12212437	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212437.Aligned.sortedByCoord.out.bam	SRR12212437	old	GSM4669731	SAMN15520614	SRX8723041	old	GSM4669731	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669731	oGV_44A	oGV_44A	NSN
